interaction_id,customer_id,interaction_date,interaction_type
1374,706,2024-12-09,Product Inquiry
1375,484,2025-09-10,Product Inquiry
1376,1912,2025-10-25,Service Inquiry
1377,443,2025-09-29,Product Inquiry
1378,1973,2025-09-30,Service Inquiry
1379,497,2025-08-29,Technical Support
1380,1228,2025-10-23,Service Inquiry
1381,31,2025-09-30,Service Inquiry
1382,1379,2025-10-22,Account Maintenance
1383,1501,2025-10-02,Complaint
1384,1832,2025-08-13,Service Inquiry
1385,1660,2025-09-11,Product Inquiry
1386,1848,2025-10-26,Product Inquiry
1387,323,2025-09-30,Service Inquiry
1388,1224,2025-09-22,Product Inquiry
1389,1588,2025-09-26,Service Inquiry
1390,821,2025-09-24,Service Inquiry
1391,1860,2025-05-27,Complaint
1392,753,2025-10-23,Service Inquiry
1393,1384,2025-05-10,Service Inquiry
1394,188,2025-09-18,Service Inquiry
1395,619,2025-08-27,Service Inquiry
1396,883,2025-09-14,Product Inquiry
1397,378,2025-10-23,Complaint
1398,247,2025-09-14,Product Inquiry
1399,463,2025-10-01,Complaint
1400,1231,2025-10-18,Service Inquiry
1401,471,2025-06-23,Product Inquiry
1402,792,2025-10-13,Product Inquiry
1403,1675,2025-09-30,Technical Support
1404,329,2025-10-08,Service Inquiry
1405,225,2025-08-02,Product Inquiry
1406,1649,2025-10-17,Product Inquiry
1407,850,2025-10-24,Service Inquiry
1408,1559,2025-07-29,Product Inquiry
1409,1163,2025-09-05,Service Inquiry
1410,716,2025-10-28,Account Maintenance
1411,1072,2025-07-21,Product Inquiry
1412,757,2025-09-09,Service Inquiry
1413,653,2025-09-03,Product Inquiry
1414,1342,2025-10-22,Account Maintenance
1415,809,2025-09-14,Complaint
1416,467,2025-08-01,Service Inquiry
1417,1165,2025-07-03,Account Maintenance
1418,1565,2025-09-20,Service Inquiry
1419,32,2025-10-07,Product Inquiry
1420,1666,2025-10-19,Service Inquiry
1421,1615,2025-10-01,Service Inquiry
1422,1513,2025-10-27,Service Inquiry
1423,453,2025-10-08,Service Inquiry
1424,1309,2025-07-10,Technical Support
1425,423,2025-03-30,Service Inquiry
1426,1495,2025-10-11,Service Inquiry
1427,589,2025-04-18,Service Inquiry
1428,1048,2025-09-29,Product Inquiry
1429,316,2025-10-02,Service Inquiry
1430,840,2025-09-18,Complaint
1431,528,2025-09-08,Service Inquiry
1432,684,2025-06-27,Complaint
1433,1644,2025-08-14,Service Inquiry
1434,1719,2025-09-29,Service Inquiry
1435,1908,2025-09-14,Service Inquiry
1436,362,2025-09-13,Service Inquiry
1437,562,2025-07-02,Complaint
1438,1797,2025-10-15,Technical Support
1439,32,2025-10-02,Service Inquiry
1440,1657,2025-09-09,Service Inquiry
1441,53,2025-09-26,Service Inquiry
1442,695,2025-10-21,Account Maintenance
1443,986,2025-08-27,Service Inquiry
1444,1724,2025-08-31,Complaint
1445,440,2025-10-03,Technical Support
1446,1435,2025-05-04,Service Inquiry
1447,736,2025-10-27,Product Inquiry
1448,1004,2025-09-21,Service Inquiry
1449,438,2025-10-26,Complaint
1450,1474,2025-10-24,Service Inquiry
1451,1353,2025-08-04,Product Inquiry
1452,984,2025-09-23,Service Inquiry
1453,1166,2025-07-27,Technical Support
1454,665,2025-10-12,Complaint
1455,264,2025-09-30,Service Inquiry
1456,946,2025-05-04,Technical Support
1457,57,2025-10-04,Product Inquiry
1458,952,2025-08-16,Service Inquiry
1459,1275,2025-08-07,Service Inquiry
1460,690,2025-08-09,Technical Support
1461,131,2025-09-30,Product Inquiry
1462,1924,2025-09-09,Service Inquiry
1463,657,2025-07-18,Complaint
1464,341,2025-10-27,Service Inquiry
1465,1407,2025-08-02,Service Inquiry
1466,953,2025-10-03,Service Inquiry
1467,98,2025-10-19,Service Inquiry
1468,1401,2025-10-18,Service Inquiry
1469,1711,2025-08-28,Service Inquiry
1470,1175,2025-05-21,Service Inquiry
1471,1044,2025-10-08,Service Inquiry
1472,347,2025-02-14,Product Inquiry
1473,1290,2025-04-21,Complaint
1474,1612,2025-10-25,Product Inquiry
1475,493,2025-08-03,Service Inquiry
1476,1991,2025-08-28,Service Inquiry
1477,1086,2025-10-26,Service Inquiry
1478,25,2025-08-28,Technical Support
1479,931,2025-08-09,Service Inquiry
1480,1904,2025-08-06,Product Inquiry
1481,991,2025-10-22,Complaint
1482,399,2025-09-11,Service Inquiry
1483,752,2025-09-14,Service Inquiry
1484,1137,2025-08-20,Product Inquiry
1485,550,2025-08-12,Technical Support
1486,1477,2025-09-18,Service Inquiry
1487,851,2025-08-26,Service Inquiry
1488,1298,2025-09-30,Product Inquiry
1489,968,2025-07-01,Service Inquiry
1490,981,2025-10-13,Complaint
1491,1696,2025-07-04,Service Inquiry
1492,1419,2025-08-22,Complaint
1493,1800,2025-10-06,Service Inquiry
1494,1604,2025-10-25,Product Inquiry
1495,738,2025-09-27,Service Inquiry
1496,960,2025-09-27,Service Inquiry
1497,831,2025-10-24,Product Inquiry
1498,1779,2025-09-15,Service Inquiry
1499,73,2025-09-25,Technical Support
1500,1653,2025-09-11,Product Inquiry
1501,1540,2025-10-06,Product Inquiry
1502,230,2025-07-25,Product Inquiry
1503,1064,2025-08-29,Account Maintenance
1504,1151,2025-08-25,Product Inquiry
1505,1978,2025-09-29,Complaint
1506,834,2024-10-28,Service Inquiry
1507,1373,2025-08-10,Technical Support
1508,1741,2025-10-03,Product Inquiry
1509,1009,2025-10-22,Product Inquiry
1510,1139,2025-10-02,Complaint
1511,362,2025-09-19,Service Inquiry
1512,1389,2025-10-23,Product Inquiry
1513,1298,2025-10-25,Product Inquiry
1514,1715,2025-10-19,Technical Support
1515,834,2025-10-11,Account Maintenance
1516,680,2025-07-19,Service Inquiry
1517,149,2025-09-18,Product Inquiry
1518,765,2025-09-29,Complaint
1519,7,2025-09-25,Technical Support
1520,1853,2025-10-03,Service Inquiry
1521,1335,2025-10-21,Account Maintenance
1522,730,2025-07-22,Service Inquiry
1523,1896,2025-07-26,Account Maintenance
1524,1041,2025-04-20,Technical Support
1525,1217,2025-10-27,Service Inquiry
1526,1562,2025-10-20,Service Inquiry
1527,507,2025-04-18,Service Inquiry
1528,715,2025-10-11,Service Inquiry
1529,121,2025-09-28,Service Inquiry
1530,1186,2025-08-06,Service Inquiry
1531,1606,2025-10-10,Account Maintenance
1532,1299,2025-08-09,Product Inquiry
1533,1873,2025-08-05,Product Inquiry
1534,450,2025-09-18,Product Inquiry
1535,1259,2025-10-09,Product Inquiry
1536,953,2025-10-20,Service Inquiry
1537,1678,2025-10-28,Technical Support
1538,1819,2025-07-30,Product Inquiry
1539,1549,2025-08-29,Service Inquiry
1540,1594,2025-10-19,Complaint
1541,215,2025-07-16,Service Inquiry
1542,219,2025-08-17,Complaint
1543,1876,2025-08-01,Technical Support
1544,1615,2025-09-27,Technical Support
1545,575,2025-07-21,Service Inquiry
1546,917,2025-06-04,Complaint
1547,1826,2025-08-28,Technical Support
1548,1874,2025-09-12,Complaint
1549,948,2025-08-15,Service Inquiry
1550,844,2025-08-11,Product Inquiry
1551,1310,2025-07-19,Product Inquiry
1552,879,2025-06-22,Complaint
1553,1058,2025-06-08,Complaint
1554,1703,2025-07-26,Service Inquiry
1555,598,2025-09-24,Service Inquiry
1556,701,2025-07-30,Service Inquiry
1557,1701,2025-10-19,Complaint
1558,531,2025-09-22,Product Inquiry
1559,1660,2025-08-25,Technical Support
1560,1373,2025-10-21,Complaint
1561,1312,2025-08-28,Product Inquiry
1562,360,2025-08-29,Complaint
1563,1012,2025-08-30,Service Inquiry
1564,959,2025-10-22,Account Maintenance
1565,1995,2025-06-09,Service Inquiry
1566,1823,2025-10-28,Service Inquiry
1567,277,2025-08-24,Account Maintenance
1568,1453,2024-10-28,Product Inquiry
1569,383,2025-09-01,Technical Support
1570,169,2025-10-17,Complaint
1571,527,2025-10-27,Service Inquiry
1572,553,2025-10-27,Product Inquiry
1573,639,2025-10-20,Service Inquiry
1574,1628,2025-09-12,Service Inquiry
1575,1832,2025-10-08,Technical Support
1576,1400,2025-08-19,Service Inquiry
1577,419,2025-08-21,Service Inquiry
1578,1105,2025-09-07,Service Inquiry
1579,968,2025-10-18,Service Inquiry
1580,1771,2025-09-21,Service Inquiry
1581,626,2025-10-04,Account Maintenance
1582,1006,2025-07-24,Product Inquiry
1583,692,2025-06-12,Service Inquiry
1584,1365,2025-08-11,Service Inquiry
1585,1299,2025-05-14,Service Inquiry
1586,181,2025-10-12,Account Maintenance
1587,1923,2025-04-29,Technical Support
1588,800,2025-08-06,Product Inquiry
1589,1733,2025-09-28,Service Inquiry
1590,1979,2025-08-23,Product Inquiry
1591,364,2025-08-26,Complaint
1592,728,2025-08-18,Service Inquiry
1593,626,2025-08-27,Complaint
1594,948,2025-09-27,Complaint
1595,1307,2025-09-25,Product Inquiry
1596,212,2025-08-20,Product Inquiry
1597,1977,2025-09-14,Service Inquiry
1598,1682,2025-09-24,Service Inquiry
1599,300,2025-10-06,Service Inquiry
1600,1190,2025-09-11,Complaint
1601,1558,2025-09-04,Service Inquiry
1602,1276,2025-09-12,Complaint
1603,426,2025-06-21,Service Inquiry
1604,270,2025-09-20,Account Maintenance
1605,1099,2025-10-27,Complaint
1606,1266,2025-09-01,Product Inquiry
1607,1155,2025-08-26,Service Inquiry
1608,1216,2025-09-28,Service Inquiry
1609,1116,2025-10-01,Product Inquiry
1610,1324,2025-10-07,Service Inquiry
1611,204,2025-10-11,Product Inquiry
1612,638,2025-08-17,Service Inquiry
1613,1204,2025-09-08,Product Inquiry
1614,706,2025-10-19,Complaint
1615,1414,2025-10-04,Service Inquiry
1616,363,2025-07-26,Service Inquiry
1617,1239,2025-09-15,Product Inquiry
1618,290,2025-10-16,Complaint
1619,566,2025-09-08,Product Inquiry
1620,986,2025-09-19,Product Inquiry
1621,208,2025-10-22,Product Inquiry
1622,1214,2025-10-19,Service Inquiry
1623,809,2025-10-01,Complaint
1624,1929,2025-07-05,Service Inquiry
1625,10,2025-10-10,Complaint
1626,1482,2025-08-20,Complaint
1627,587,2025-07-12,Service Inquiry
1628,256,2025-10-17,Service Inquiry
1629,927,2025-09-02,Technical Support
1630,862,2025-10-01,Technical Support
1631,1067,2025-09-28,Service Inquiry
1632,1525,2025-10-09,Product Inquiry
1633,595,2025-10-06,Service Inquiry
1634,220,2025-09-02,Account Maintenance
1635,683,2025-06-10,Product Inquiry
1636,135,2025-10-15,Service Inquiry
1637,919,2025-09-18,Product Inquiry
1638,84,2025-10-24,Service Inquiry
1639,1886,2025-08-07,Service Inquiry
1640,62,2025-09-21,Service Inquiry
1641,40,2025-09-17,Account Maintenance
1642,855,2025-06-03,Service Inquiry
1643,1264,2025-10-10,Account Maintenance
1644,1545,2025-10-13,Complaint
1645,797,2025-09-17,Product Inquiry
1646,1424,2025-10-14,Service Inquiry
1647,323,2025-07-15,Account Maintenance
1648,876,2025-09-05,Service Inquiry
1649,1052,2025-08-09,Service Inquiry
1650,702,2025-09-26,Service Inquiry
1651,710,2025-09-24,Service Inquiry
1652,46,2025-10-18,Complaint
1653,1045,2025-09-22,Service Inquiry
1654,1544,2025-08-31,Product Inquiry
1655,631,2025-09-20,Service Inquiry
1656,632,2025-10-25,Service Inquiry
1657,130,2025-09-14,Service Inquiry
1658,1633,2025-09-14,Service Inquiry
1659,19,2025-06-17,Service Inquiry
1660,231,2025-08-08,Service Inquiry
1661,1861,2025-09-17,Service Inquiry
1662,1496,2025-08-07,Account Maintenance
1663,1472,2025-08-30,Service Inquiry
1664,881,2025-09-20,Service Inquiry
1665,1014,2025-02-03,Service Inquiry
1666,343,2025-10-24,Service Inquiry
1667,1707,2025-08-18,Service Inquiry
1668,324,2025-10-23,Product Inquiry
1669,1650,2025-08-23,Complaint
1670,1756,2025-10-06,Account Maintenance
1671,1607,2025-06-25,Service Inquiry
1672,1794,2025-10-17,Complaint
1673,269,2025-09-02,Service Inquiry
1674,189,2025-04-07,Product Inquiry
1675,1909,2025-10-07,Service Inquiry
1676,875,2025-10-01,Service Inquiry
1677,888,2025-09-12,Complaint
1678,699,2025-08-15,Service Inquiry
1679,594,2025-10-12,Product Inquiry
1680,1073,2025-06-30,Service Inquiry
1681,957,2024-10-28,Product Inquiry
1682,1052,2025-09-06,Service Inquiry
1683,832,2025-08-29,Service Inquiry
1684,1393,2025-10-23,Product Inquiry
1685,557,2025-08-15,Service Inquiry
1686,1282,2025-10-01,Technical Support
1687,827,2025-07-30,Complaint
1688,701,2025-05-23,Service Inquiry
1689,1883,2025-07-19,Service Inquiry
1690,1640,2025-06-20,Service Inquiry
1691,1110,2025-10-12,Service Inquiry
1692,173,2025-10-16,Product Inquiry
1693,1324,2025-10-26,Service Inquiry
1694,1581,2025-05-01,Complaint
1695,1604,2025-10-25,Service Inquiry
1696,1880,2025-08-03,Service Inquiry
1697,724,2025-07-05,Service Inquiry
1698,1260,2025-10-18,Technical Support
1699,1887,2025-06-11,Service Inquiry
1700,792,2025-08-07,Service Inquiry
1701,815,2025-10-09,Service Inquiry
1702,1712,2025-06-26,Service Inquiry
1703,1151,2025-06-16,Service Inquiry
1704,584,2025-09-28,Product Inquiry
1705,1260,2025-10-27,Service Inquiry
1706,322,2025-10-21,Product Inquiry
1707,931,2025-05-02,Service Inquiry
1708,43,2025-10-10,Account Maintenance
1709,1823,2025-10-03,Service Inquiry
1710,1793,2025-10-13,Complaint
1711,1654,2025-10-14,Product Inquiry
1712,1500,2025-10-08,Service Inquiry
1713,760,2025-10-01,Service Inquiry
1714,788,2025-10-20,Service Inquiry
1715,349,2025-08-09,Complaint
1716,324,2025-08-16,Technical Support
1717,656,2025-10-25,Product Inquiry
1718,611,2025-05-06,Complaint
1719,954,2025-06-29,Service Inquiry
1720,76,2025-08-25,Service Inquiry
1721,925,2025-10-28,Service Inquiry
1722,1555,2025-04-03,Product Inquiry
1723,1838,2025-08-17,Service Inquiry
1724,1425,2025-10-11,Product Inquiry
1725,1403,2025-10-02,Service Inquiry
1726,746,2025-10-06,Service Inquiry
1727,1157,2025-09-09,Product Inquiry
1728,1414,2025-06-24,Service Inquiry
1729,1551,2025-10-27,Complaint
1730,1435,2025-08-09,Service Inquiry
1731,1028,2025-09-24,Technical Support
1732,479,2025-10-17,Service Inquiry
1733,661,2025-10-20,Product Inquiry
1734,1995,2025-09-29,Service Inquiry
1735,265,2025-07-01,Product Inquiry
1736,1713,2025-07-12,Service Inquiry
1737,656,2025-10-02,Technical Support
1738,954,2025-04-10,Product Inquiry
1739,1091,2025-08-13,Service Inquiry
1740,1208,2025-10-23,Product Inquiry
1741,21,2025-07-09,Service Inquiry
1742,827,2025-10-19,Service Inquiry
1743,861,2025-09-10,Service Inquiry
1744,1375,2025-10-23,Complaint
1745,1657,2025-07-12,Product Inquiry
1746,349,2025-10-19,Service Inquiry
1747,682,2025-08-27,Service Inquiry
1748,1676,2025-10-28,Product Inquiry
1749,1171,2025-08-28,Service Inquiry
1750,1919,2025-09-16,Complaint
1751,1343,2025-09-21,Service Inquiry
1752,677,2025-09-05,Service Inquiry
1753,1060,2025-04-02,Service Inquiry
1754,299,2025-10-06,Account Maintenance
1755,1707,2025-09-05,Service Inquiry
1756,1336,2025-09-12,Service Inquiry
1757,177,2025-10-23,Product Inquiry
1758,1915,2025-09-02,Service Inquiry
1759,1636,2025-07-23,Service Inquiry
1760,1564,2025-10-25,Service Inquiry
1761,526,2025-10-14,Product Inquiry
1762,423,2025-08-11,Complaint
1763,89,2025-09-11,Service Inquiry
1764,1036,2025-06-16,Service Inquiry
1765,1525,2025-10-18,Account Maintenance
1766,896,2025-08-30,Product Inquiry
1767,791,2025-10-27,Service Inquiry
1768,1162,2025-07-02,Service Inquiry
1769,459,2025-09-16,Product Inquiry
1770,623,2025-08-31,Product Inquiry
1771,192,2025-07-25,Service Inquiry
1772,997,2025-10-07,Service Inquiry
1773,561,2025-10-18,Product Inquiry
1774,1655,2025-04-23,Complaint
1775,1545,2025-03-31,Service Inquiry
1776,1443,2025-10-08,Service Inquiry
1777,293,2025-09-17,Technical Support
1778,949,2025-07-24,Product Inquiry
1779,1173,2025-10-17,Product Inquiry
1780,1005,2025-10-22,Complaint
1781,1187,2025-07-17,Service Inquiry
1782,1409,2025-09-19,Technical Support
1783,345,2025-08-03,Product Inquiry
1784,728,2025-10-26,Service Inquiry
1785,1787,2025-03-09,Account Maintenance
1786,212,2025-07-21,Technical Support
1787,1264,2025-10-12,Product Inquiry
1788,1132,2025-07-21,Service Inquiry
1789,1875,2025-08-03,Complaint
1790,1850,2025-10-04,Service Inquiry
1791,1792,2025-09-15,Technical Support
1792,1408,2025-10-26,Service Inquiry
1793,846,2025-10-11,Complaint
1794,1446,2025-10-06,Technical Support
1795,374,2025-08-03,Complaint
1796,1925,2025-07-17,Technical Support
1797,1980,2025-09-05,Account Maintenance
1798,951,2025-10-08,Service Inquiry
1799,1138,2025-08-26,Product Inquiry
1800,858,2025-04-20,Service Inquiry
1801,1791,2025-09-27,Service Inquiry
1802,363,2025-10-10,Service Inquiry
1803,1202,2025-09-15,Service Inquiry
1804,189,2025-06-05,Service Inquiry
1805,1695,2025-09-05,Service Inquiry
1806,1998,2025-06-30,Service Inquiry
1807,1921,2025-07-28,Technical Support
1808,675,2025-10-15,Service Inquiry
1809,1831,2025-10-09,Product Inquiry
1810,1771,2025-08-14,Product Inquiry
1811,1743,2025-10-13,Service Inquiry
1812,1810,2025-10-26,Complaint
1813,1834,2025-10-16,Service Inquiry
1814,1105,2025-10-10,Technical Support
1815,1593,2025-10-19,Service Inquiry
1816,141,2025-09-06,Product Inquiry
1817,593,2025-05-13,Service Inquiry
1818,1014,2025-07-12,Product Inquiry
1819,1915,2025-10-26,Service Inquiry
1820,621,2025-08-26,Service Inquiry
1821,653,2025-07-31,Product Inquiry
1822,1669,2025-09-17,Service Inquiry
1823,943,2025-10-12,Product Inquiry
1824,506,2025-10-21,Account Maintenance
1825,990,2025-09-08,Service Inquiry
1826,526,2025-10-01,Product Inquiry
1827,582,2025-07-20,Product Inquiry
1828,328,2025-08-31,Complaint
1829,1726,2025-10-16,Complaint
1830,921,2025-10-10,Account Maintenance
1831,722,2025-09-04,Technical Support
1832,147,2025-10-19,Product Inquiry
1833,418,2025-10-17,Complaint
1834,222,2024-12-28,Service Inquiry
1835,1608,2025-10-19,Technical Support
1836,1574,2025-08-24,Technical Support
1837,67,2025-10-18,Product Inquiry
1838,195,2025-10-11,Technical Support
1839,1620,2025-09-26,Account Maintenance
1840,1679,2025-10-16,Service Inquiry
1841,1861,2025-10-07,Product Inquiry
1842,25,2025-08-25,Product Inquiry
1843,1739,2025-09-16,Complaint
1844,1524,2025-10-25,Complaint
1845,230,2025-07-20,Service Inquiry
1846,113,2025-08-22,Product Inquiry
1847,30,2025-09-11,Product Inquiry
1848,969,2025-02-09,Technical Support
1849,1620,2025-10-15,Service Inquiry
1850,233,2025-07-29,Service Inquiry
1851,855,2025-09-22,Service Inquiry
1852,449,2025-10-19,Product Inquiry
1853,163,2025-10-17,Service Inquiry
1854,1981,2025-10-03,Complaint
1855,467,2025-06-21,Account Maintenance
1856,149,2025-09-30,Service Inquiry
1857,238,2025-10-18,Technical Support
1858,404,2025-09-15,Service Inquiry
1859,714,2025-10-21,Complaint
1860,1566,2025-10-01,Service Inquiry
1861,1636,2025-10-24,Service Inquiry
1862,853,2025-10-17,Product Inquiry
1863,938,2025-10-05,Account Maintenance
1864,940,2025-07-27,Product Inquiry
1865,966,2025-08-19,Service Inquiry
1866,129,2025-10-02,Product Inquiry
1867,150,2025-07-28,Product Inquiry
1868,1469,2025-10-26,Service Inquiry
1869,1918,2025-07-11,Product Inquiry
1870,470,2025-07-24,Complaint
1871,461,2025-08-06,Service Inquiry
1872,1354,2025-04-29,Service Inquiry
1873,272,2025-07-29,Technical Support
1874,1867,2025-05-19,Technical Support
1875,119,2025-08-25,Service Inquiry
1876,531,2025-10-05,Account Maintenance
1877,312,2025-09-26,Complaint
1878,1149,2025-03-18,Service Inquiry
1879,905,2025-08-19,Product Inquiry
1880,19,2025-09-28,Technical Support
1881,471,2025-07-21,Service Inquiry
1882,1172,2025-10-19,Service Inquiry
1883,791,2025-06-25,Product Inquiry
1884,1815,2025-09-03,Service Inquiry
1885,1343,2025-10-25,Service Inquiry
1886,1704,2025-10-26,Service Inquiry
1887,770,2025-06-28,Complaint
1888,1986,2025-10-27,Service Inquiry
1889,508,2024-10-28,Service Inquiry
1890,479,2025-08-03,Service Inquiry
1891,312,2025-10-13,Product Inquiry
1892,817,2025-09-05,Service Inquiry
1893,841,2025-04-28,Service Inquiry
1894,291,2025-07-17,Service Inquiry
1895,38,2025-10-14,Complaint
1896,760,2025-10-21,Product Inquiry
1897,297,2025-10-06,Service Inquiry
1898,751,2025-10-17,Service Inquiry
1899,778,2025-10-17,Service Inquiry
1900,314,2025-09-28,Service Inquiry
1901,261,2025-10-07,Complaint
1902,1936,2025-06-20,Product Inquiry
1903,1508,2025-10-24,Complaint
1904,1184,2025-08-02,Product Inquiry
1905,1821,2025-06-29,Technical Support
1906,1745,2025-10-20,Product Inquiry
1907,815,2025-06-10,Service Inquiry
1908,683,2025-10-19,Service Inquiry
1909,165,2025-04-06,Technical Support
1910,693,2025-05-19,Product Inquiry
1911,1843,2025-09-29,Service Inquiry
1912,485,2025-10-26,Product Inquiry
1913,1760,2025-06-12,Service Inquiry
1914,1335,2025-10-27,Service Inquiry
1915,1261,2025-10-18,Complaint
1916,996,2025-09-15,Complaint
1917,290,2025-05-12,Technical Support
1918,1049,2025-07-08,Service Inquiry
1919,123,2025-09-20,Service Inquiry
1920,862,2025-10-17,Product Inquiry
1921,1339,2025-07-25,Service Inquiry
1922,188,2025-09-26,Technical Support
1923,722,2025-09-10,Service Inquiry
1924,1170,2025-03-19,Service Inquiry
1925,1533,2025-10-22,Service Inquiry
1926,1583,2025-10-25,Complaint
1927,218,2025-09-30,Product Inquiry
1928,789,2025-08-06,Product Inquiry
1929,1147,2025-09-11,Service Inquiry
1930,866,2025-07-22,Service Inquiry
1931,849,2025-10-10,Service Inquiry
1932,234,2025-10-04,Complaint
1933,1407,2025-09-24,Service Inquiry
1934,1867,2025-09-05,Service Inquiry
1935,1773,2025-09-30,Service Inquiry
1936,261,2025-08-23,Service Inquiry
1937,1095,2025-08-28,Service Inquiry
1938,720,2025-09-16,Service Inquiry
1939,1365,2025-07-26,Complaint
1940,761,2025-10-03,Product Inquiry
1941,1610,2025-09-24,Service Inquiry
1942,1398,2025-10-10,Account Maintenance
1943,1491,2025-08-17,Product Inquiry
1944,120,2025-10-05,Complaint
1945,330,2025-09-05,Service Inquiry
1946,1158,2025-07-29,Complaint
1947,595,2024-11-12,Account Maintenance
1948,78,2025-10-23,Technical Support
1949,848,2025-10-13,Complaint
1950,311,2025-10-01,Account Maintenance
1951,1540,2025-09-12,Technical Support
1952,1291,2025-06-14,Service Inquiry
1953,1032,2025-08-19,Service Inquiry
1954,1246,2025-10-02,Service Inquiry
1955,1407,2025-08-02,Service Inquiry
1956,1710,2025-08-24,Service Inquiry
1957,1934,2025-07-15,Service Inquiry
1958,1743,2025-02-22,Service Inquiry
1959,1079,2025-10-10,Account Maintenance
1960,288,2025-08-01,Service Inquiry
1961,1592,2025-10-14,Technical Support
1962,543,2025-09-15,Service Inquiry
1963,1861,2025-06-25,Product Inquiry
1964,1564,2025-08-12,Complaint
1965,69,2025-07-29,Service Inquiry
1966,1624,2025-10-18,Account Maintenance
1967,549,2025-09-19,Account Maintenance
1968,309,2025-09-11,Complaint
1969,761,2025-09-24,Service Inquiry
1970,1459,2025-09-08,Product Inquiry
1971,1821,2025-09-13,Service Inquiry
1972,1984,2025-09-27,Complaint
1973,219,2025-09-12,Service Inquiry
1974,628,2025-09-12,Complaint
1975,1242,2025-08-28,Service Inquiry
1976,999,2025-10-04,Complaint
1977,544,2025-06-19,Product Inquiry
1978,838,2025-09-04,Service Inquiry
1979,426,2025-10-03,Service Inquiry
1980,1555,2025-07-24,Product Inquiry
1981,545,2025-08-08,Product Inquiry
1982,1175,2025-10-13,Service Inquiry
1983,932,2025-08-05,Account Maintenance
1984,642,2025-10-16,Complaint
1985,472,2025-08-25,Service Inquiry
1986,673,2025-10-10,Product Inquiry
1987,498,2025-09-01,Technical Support
1988,937,2025-05-10,Service Inquiry
1989,580,2025-09-01,Product Inquiry
1990,1163,2025-09-22,Complaint
1991,679,2025-09-17,Technical Support
1992,1802,2025-05-17,Product Inquiry
1993,258,2025-06-04,Service Inquiry
1994,764,2025-10-23,Service Inquiry
1995,382,2025-07-26,Service Inquiry
1996,1729,2025-10-13,Technical Support
1997,1801,2025-09-06,Service Inquiry
1998,1336,2025-09-25,Product Inquiry
1999,1918,2025-08-22,Service Inquiry
2000,699,2025-08-05,Service Inquiry
2001,883,2025-10-16,Service Inquiry
2002,27,2025-09-12,Service Inquiry
2003,1048,2025-10-24,Technical Support
2004,1050,2025-10-12,Service Inquiry
2005,603,2025-09-16,Service Inquiry
2006,1001,2025-07-21,Account Maintenance
2007,1403,2025-10-26,Account Maintenance
2008,1350,2025-07-26,Product Inquiry
2009,6,2025-10-20,Service Inquiry
2010,996,2025-08-09,Service Inquiry
2011,1331,2025-05-16,Product Inquiry
2012,178,2025-10-27,Service Inquiry
2013,226,2025-10-26,Service Inquiry
2014,950,2025-07-04,Product Inquiry
2015,1895,2025-09-15,Service Inquiry
2016,807,2025-09-29,Account Maintenance
2017,427,2025-06-11,Service Inquiry
2018,1622,2025-09-11,Complaint
2019,420,2025-09-05,Complaint
2020,888,2025-06-19,Product Inquiry
2021,1878,2025-10-25,Service Inquiry
2022,1530,2025-10-18,Service Inquiry
2023,776,2025-06-18,Service Inquiry
2024,207,2025-10-16,Service Inquiry
2025,1133,2025-10-22,Service Inquiry
2026,1345,2025-07-08,Service Inquiry
2027,1336,2025-10-18,Complaint
2028,133,2025-04-09,Technical Support
2029,754,2025-10-11,Complaint
2030,136,2025-07-12,Service Inquiry
2031,689,2025-09-07,Complaint
2032,1204,2025-10-20,Service Inquiry
2033,1876,2025-05-29,Technical Support
2034,604,2025-10-16,Service Inquiry
2035,980,2025-10-15,Service Inquiry
2036,297,2025-05-30,Service Inquiry
2037,1123,2025-10-08,Technical Support
2038,543,2025-06-19,Product Inquiry
2039,1818,2025-09-10,Service Inquiry
2040,184,2025-10-13,Technical Support
2041,370,2025-09-04,Technical Support
2042,1168,2025-10-26,Service Inquiry
2043,1870,2025-07-01,Complaint
2044,656,2025-10-23,Product Inquiry
2045,1842,2025-10-13,Service Inquiry
2046,1058,2025-10-26,Product Inquiry
2047,743,2025-07-21,Complaint
2048,682,2025-10-19,Service Inquiry
2049,1634,2025-09-02,Technical Support
2050,1562,2025-07-02,Complaint
2051,1387,2025-06-30,Service Inquiry
2052,429,2025-08-08,Service Inquiry
2053,41,2025-10-22,Service Inquiry
2054,47,2025-10-22,Account Maintenance
2055,148,2025-10-14,Service Inquiry
2056,1168,2025-10-16,Service Inquiry
2057,1128,2025-09-14,Product Inquiry
2058,430,2025-09-29,Complaint
2059,824,2025-10-08,Product Inquiry
2060,388,2025-10-24,Complaint
2061,1800,2025-09-04,Service Inquiry
2062,1981,2025-09-30,Service Inquiry
2063,897,2025-07-01,Service Inquiry
2064,1838,2025-10-22,Product Inquiry
2065,807,2025-08-20,Complaint
2066,1672,2025-09-15,Service Inquiry
2067,58,2025-09-11,Product Inquiry
2068,1794,2025-10-09,Service Inquiry
2069,68,2025-10-19,Technical Support
2070,693,2025-09-30,Service Inquiry
2071,1050,2025-09-30,Service Inquiry
2072,1223,2024-10-28,Service Inquiry
2073,611,2025-09-14,Service Inquiry
2074,753,2025-09-05,Product Inquiry
2075,1924,2025-07-07,Complaint
2076,719,2025-08-17,Product Inquiry
